Date,Temp,City,Measuring Device,Where,Noise
1981-02-04,19.9,City A,Device 1,Airport,2.986261607489543
1981-02-05,16.6,City A,Device 1,Airport,4.962006203243296
1981-02-06,16.8,City A,Device 1,Airport,1.6480689540941666
1981-02-07,14.6,City A,Device 1,Airport,5.703247093451276
1981-02-08,17.1,City A,Device 1,Airport,9.979406531329612
1981-02-09,25.0,City A,Device 1,Airport,7.226132481732007
1981-02-10,15.0,City A,Device 1,Airport,4.424493342915155
1981-02-11,13.7,City A,Device 1,Airport,2.337113107745491
1981-02-12,13.9,City A,Device 1,Airport,2.758525118747487
1981-02-13,18.3,City A,Device 1,Airport,10.07736380308324
1981-02-14,22.0,City A,Device 1,Airport,5.152423264328087
1981-02-15,22.1,City A,Device 1,Airport,3.08901306029194
1981-02-16,21.2,City A,Device 1,Airport,5.572746454002398
1981-02-17,18.4,City A,Device 1,Airport,11.300765409436526
1981-02-18,16.6,City A,Device 1,Airport,5.360476857444888
1981-02-19,16.1,City A,Device 1,Airport,6.851609329122258
1981-02-20,15.7,City A,Device 1,Airport,5.900510959867482
1981-02-21,16.6,City A,Device 1,Airport,3.943250460519444
1981-02-22,16.5,City A,Device 1,Airport,1.5724454059335793
1981-02-23,14.4,City A,Device 1,Airport,3.9519718327613678
1981-02-24,14.4,City A,Device 1,Airport,4.373317299875666
1981-02-25,18.5,City A,Device 1,Airport,6.7598695735465935
1981-02-26,16.9,City A,Device 1,Airport,7.5169502416235146
1981-02-27,17.5,City A,Device 1,Airport,7.793306243910672
1981-02-28,21.2,City A,Device 1,Airport,5.856761975762776
1981-03-01,17.8,City A,Device 1,Airport,7.655423492812185
1981-03-02,18.6,City A,Device 1,Airport,2.736806177010042
1981-03-03,17.0,City A,Device 1,Airport,8.758604465699865
1981-03-04,16.0,City A,Device 1,Airport,6.5387894612540265
1981-03-05,13.3,City A,Device 1,Airport,4.105721494691853
1981-03-06,14.3,City A,Device 1,Airport,6.465554439612491
1981-03-07,11.4,City A,Device 1,Airport,4.773284860936833
1981-03-08,16.3,City A,Device 1,Airport,8.394888162354281
1981-03-09,16.1,City A,Device 1,Airport,9.559450449266595
1981-03-10,11.8,City A,Device 1,Airport,11.556726219599485
1981-03-11,12.2,City A,Device 1,Airport,0.810510993535587
1981-03-12,14.7,City A,Device 1,Airport,0.6676585837112317
1981-03-13,11.8,City A,Device 1,Airport,3.4866024111606464
1981-03-14,11.3,City A,Device 1,Airport,5.480111208343492
1981-03-15,10.6,City A,Device 1,Airport,7.628506763348675
1981-03-16,11.7,City A,Device 1,Airport,5.946904841724816
1981-03-17,14.2,City A,Device 1,Airport,-1.066603647472009
1981-03-18,11.2,City A,Device 1,Airport,4.081387962114885
1981-03-19,16.9,City A,Device 1,Airport,7.483923927821738
1981-03-20,16.7,City A,Device 1,Airport,5.69028420609315
1981-03-21,8.1,City A,Device 1,Airport,7.286033540936074
1981-03-22,8.0,City A,Device 1,Airport,4.3330155721689225
1981-03-23,8.8,City A,Device 1,Airport,4.397725793210007
1981-03-24,13.4,City A,Device 1,Airport,5.559684172964853
1981-03-25,10.9,City A,Device 1,Airport,6.230154941624769
1981-03-26,13.4,City A,Device 1,Airport,5.594899160380309
1981-03-27,11.0,City A,Device 1,Airport,5.357025937422376
1981-03-28,15.0,City A,Device 1,Airport,2.9880131411329085
1981-03-29,15.7,City A,Device 1,Airport,6.1326913589627585
1981-03-30,14.5,City A,Device 1,Airport,5.365463812974311
1981-03-31,15.8,City A,Device 1,Airport,8.38845172373576
1981-04-01,16.7,City A,Device 1,Airport,8.59675363970452
1981-04-02,16.8,City A,Device 1,Airport,5.555469252451831
1981-04-03,17.5,City A,Device 1,Airport,3.8741451497296575
1981-04-04,17.1,City A,Device 1,Airport,3.0838087776373326
1981-04-05,18.1,City A,Device 1,Airport,6.270483062192339
1981-04-06,16.6,City A,Device 1,Airport,5.2320202050456786
1981-04-07,10.0,City A,Device 1,Airport,3.9684389732867733
1981-04-08,14.9,City A,Device 1,Airport,5.130790570502741
1981-04-09,15.9,City A,Device 1,Airport,3.139997468155612
1981-04-10,13.0,City A,Device 1,Airport,7.094096102216657
1981-04-11,7.6,City A,Device 1,Airport,3.658614305642005
1981-04-12,11.5,City A,Device 1,Airport,8.673523114416497
1981-04-13,13.5,City A,Device 1,Airport,6.2104749253724005
1981-04-14,13.0,City A,Device 1,Airport,6.780735569711201
1981-04-15,13.3,City A,Device 1,Airport,1.7152644627768745
1981-04-16,12.1,City A,Device 1,Airport,5.508147299176004
1981-04-17,12.4,City A,Device 1,Airport,7.221669353288824
1981-04-18,13.2,City A,Device 1,Airport,2.1388981945761962
1981-04-19,13.8,City A,Device 1,Airport,4.201344481989134
1981-04-20,10.6,City A,Device 1,Airport,5.097843640080075
1981-04-21,9.0,City A,Device 1,Airport,0.8806480392597331
1981-04-22,10.0,City A,Device 1,Airport,5.945478176126875
1981-04-23,9.8,City A,Device 1,Airport,7.5384819427551
1981-04-24,11.5,City A,Device 1,Airport,2.421452177504041
1981-04-25,8.9,City A,Device 1,Airport,6.051637935992322
1981-04-26,7.4,City A,Device 1,Airport,1.0631497662877045
1981-04-27,9.9,City A,Device 1,Airport,4.883913472201846
1981-04-28,9.3,City A,Device 1,Airport,0.15268293589011606
1981-04-29,9.9,City A,Device 1,Airport,8.364253124706991
1981-04-30,7.4,City A,Device 1,Airport,6.226701613810484
1981-05-01,8.6,City A,Device 1,Airport,4.9261491323726645
1981-05-02,11.9,City A,Device 1,Airport,2.6745151424925213
1981-05-03,14.0,City A,Device 1,Airport,8.82126779047633
1981-05-04,8.6,City A,Device 1,Airport,10.901305247764205
1981-05-05,10.0,City A,Device 1,Airport,-0.5739455933402562
1981-05-06,13.5,City A,Device 1,Airport,8.708492091358462
1981-05-07,12.0,City A,Device 1,Airport,9.88295225944672
1981-05-08,10.5,City A,Device 1,Airport,6.014035089723428
1981-05-09,10.7,City A,Device 1,Airport,1.4021959029944417
1981-05-10,8.1,City A,Device 1,Airport,7.590035952632064
1981-05-11,10.1,City A,Device 1,Airport,4.457239093765549
1981-05-12,10.6,City A,Device 1,Airport,3.1882381166202283
1981-05-13,5.3,City A,Device 1,Airport,1.3098255929991147
1981-05-14,6.6,City A,Device 1,Airport,6.651612487928646
1981-05-15,8.5,City A,Device 1,Airport,7.378420597758043
1981-05-16,11.2,City A,Device 1,Airport,3.1294078109606254
1981-05-17,9.8,City A,Device 1,Airport,6.5617290112201125
1981-05-18,5.9,City A,Device 1,Airport,1.5669758311305717
1981-05-19,3.2,City A,Device 1,Airport,7.405583095614034
1981-05-20,2.1,City A,Device 1,Airport,5.139701895272436
1981-05-21,3.4,City A,Device 1,Airport,4.4402906842779535
1981-05-22,5.4,City A,Device 1,Airport,4.694762382412565
1981-05-23,9.6,City A,Device 1,Airport,7.606658471017604
1981-05-24,11.5,City A,Device 1,Airport,7.251234919595024
1981-05-25,12.3,City A,Device 1,Airport,6.588395973058128
1981-05-26,12.6,City A,Device 1,Airport,5.413103629992158
1981-05-27,11.0,City A,Device 1,Airport,5.233463383738118
1981-05-28,11.2,City A,Device 1,Airport,6.855140785995573
1981-05-29,11.4,City A,Device 1,Airport,5.697483677536214
1981-05-30,11.8,City A,Device 1,Airport,7.047654220593455
1981-05-31,12.8,City A,Device 1,Airport,4.06964967944582
1981-06-01,11.6,City A,Device 1,Airport,-2.304513292321417
1981-06-02,10.6,City A,Device 1,Airport,8.116473805578241
1981-06-03,9.8,City A,Device 1,Airport,11.560938940922773
1981-06-04,11.2,City A,Device 1,Airport,6.324093330705747
1981-06-05,5.7,City A,Device 1,Airport,4.699534300149501
1981-06-06,7.1,City A,Device 1,Airport,4.590665768311901
1981-06-07,2.5,City A,Device 1,Airport,4.6428374366755705
1981-06-08,3.5,City A,Device 1,Airport,5.052228224900014
1981-06-09,4.6,City A,Device 1,Airport,1.633943813759335
1981-06-10,11.0,City A,Device 1,Airport,3.4487166262393165
1981-06-11,5.7,City A,Device 1,Airport,2.008919517049211
1981-06-12,7.7,City A,Device 1,Airport,5.746397484163311
1981-06-13,10.4,City A,Device 1,Airport,4.110076542887412
1981-06-14,11.4,City A,Device 1,Airport,6.485633971933881
1981-06-15,9.2,City A,Device 1,Airport,4.475890520772497
1981-06-16,6.1,City A,Device 1,Airport,7.959005563463727
1981-06-17,2.7,City A,Device 1,Airport,5.640601704006325
1981-06-18,4.3,City A,Device 1,Airport,11.5720991869092
1981-06-19,6.3,City A,Device 1,Airport,-0.689082768673277
1981-06-20,3.8,City A,Device 1,Airport,3.059249935235276
1981-06-21,4.4,City A,Device 1,Airport,7.704460674946133
1981-06-22,7.1,City A,Device 1,Airport,12.584977120419193
1981-06-23,4.8,City A,Device 1,Airport,4.25409566685362
1981-06-24,5.8,City A,Device 1,Airport,5.131006979535167
1981-06-25,6.2,City A,Device 1,Airport,4.321057272459185
1981-06-26,7.3,City A,Device 1,Airport,8.994371337762775
1981-06-27,9.2,City A,Device 1,Airport,4.138076409571943
1981-06-28,10.2,City A,Device 1,Airport,7.040209519634313
1981-06-29,9.5,City A,Device 1,Airport,4.040595203303987
1981-06-30,9.5,City A,Device 1,Airport,1.1823237342620172
1981-07-01,10.7,City A,Device 1,Airport,5.940643161390296
1981-07-02,10.0,City A,Device 1,Airport,6.509554440305978
1981-07-03,6.5,City A,Device 1,Airport,8.879677647596786
1981-07-04,7.0,City A,Device 1,Airport,4.668658920748051
1981-07-05,7.4,City A,Device 1,Airport,3.147913808862917
1981-07-06,8.1,City A,Device 1,Airport,6.688283289857079
1981-07-07,6.6,City A,Device 1,Airport,5.722211276713197
1981-07-08,8.3,City A,Device 1,Airport,5.8419952313679175
1981-07-09,8.9,City A,Device 1,Airport,4.780661888758167
1981-07-10,4.6,City A,Device 1,Airport,8.481015709981309
1981-07-11,6.8,City A,Device 1,Airport,6.108478149127171
1981-07-12,5.7,City A,Device 1,Airport,10.713976125022944
1981-07-13,6.1,City A,Device 1,Airport,8.333170095681513
1981-07-14,7.0,City A,Device 1,Airport,6.977149388300631
1981-07-15,7.2,City A,Device 1,Airport,0.11768497815122814
1981-07-16,6.3,City A,Device 1,Airport,6.806957840886887
1981-07-17,8.8,City A,Device 1,Airport,6.2608466109411784
1981-07-18,5.0,City A,Device 1,Airport,7.432855018410667
1981-07-19,7.4,City A,Device 1,Airport,8.133326284121775
1981-07-20,10.1,City A,Device 1,Airport,3.7973654246332202
1981-07-21,12.0,City A,Device 1,Airport,7.472016855351223
1981-07-22,9.0,City A,Device 1,Airport,3.313083706942731
1981-07-23,8.9,City A,Device 1,Airport,10.864634225027103
1981-07-24,9.8,City A,Device 1,Airport,1.0041450004482555
1981-07-25,9.0,City A,Device 1,Airport,-0.2820656811963502
1981-07-26,9.2,City A,Device 1,Airport,0.04783620252769971
1981-07-27,7.7,City A,Device 1,Airport,2.3283332475108547
1981-07-28,8.0,City A,Device 1,Airport,1.6426538043208163
1981-07-29,6.1,City A,Device 1,Airport,10.868236711110926
1981-07-30,3.5,City A,Device 1,Airport,4.020501505765448
1981-07-31,3.2,City A,Device 1,Airport,0.9719726318676924
1981-08-01,5.7,City A,Device 1,Airport,8.343148930339375
1981-08-02,7.7,City A,Device 1,Airport,3.2404281835352227
1981-08-03,9.0,City A,Device 1,Airport,1.2894398703758077
1981-08-04,10.0,City A,Device 1,Airport,7.6275167829478985
1981-08-05,6.2,City A,Device 1,Airport,6.870086529734098
1981-08-06,6.9,City A,Device 1,Airport,3.6951299511343167
1981-08-07,6.5,City A,Device 1,Airport,9.222620000723687
1981-08-08,6.8,City A,Device 1,Airport,5.387304739132176
1981-08-09,7.0,City A,Device 1,Airport,9.850848796571901
1981-08-10,5.2,City A,Device 1,Airport,6.508222645999712
1981-08-11,3.0,City A,Device 1,Airport,9.676416621859577
1981-08-12,5.6,City A,Device 1,Airport,5.328208089276284
1981-08-13,7.9,City A,Device 1,Airport,1.340766809062902
1981-08-14,9.0,City A,Device 1,Airport,12.348105947184191
1981-08-15,8.6,City A,Device 1,Airport,3.3626774960522967
1981-08-16,10.3,City A,Device 1,Airport,4.40348641133331
1981-08-17,10.5,City A,Device 1,Airport,2.8988044852362362
1981-08-18,7.6,City A,Device 1,Airport,4.389816653106324
1981-08-19,9.7,City A,Device 1,Airport,5.728008323245383
1981-08-20,12.5,City A,Device 1,Airport,5.605490536622012
1981-08-21,7.4,City A,Device 1,Airport,6.983060862796078
1981-08-22,7.9,City A,Device 1,Airport,10.3764746269267
1981-08-23,3.9,City A,Device 1,Airport,4.638606284634478
1981-08-24,6.6,City A,Device 1,Airport,1.3006377936607203
1981-08-25,4.6,City A,Device 1,Airport,1.4530456204710989
1981-08-26,7.0,City A,Device 1,Airport,3.00273644540262
1981-08-27,6.0,City A,Device 1,Airport,-0.02258742285679638
1981-08-28,5.5,City A,Device 1,Airport,7.475089473316958
1981-08-29,8.1,City A,Device 1,Airport,3.5053593091067654
1981-08-30,5.5,City A,Device 1,Airport,4.067045065091447
1981-08-31,6.2,City A,Device 1,Airport,4.994325551485989
1981-09-01,8.0,City A,Device 1,Airport,0.8101387262137045
1981-09-02,10.3,City A,Device 1,Airport,2.416050917671874
1981-09-03,9.8,City A,Device 1,Airport,7.024134577063917
1981-09-04,9.6,City A,Device 1,Airport,6.85561739235888
1981-09-05,8.5,City A,Device 1,Airport,3.670484207898087
1981-09-06,7.5,City A,Device 1,Airport,10.431604742376368
1981-09-07,11.2,City A,Device 1,Airport,1.0828192323267878
1981-09-08,14.6,City A,Device 1,Airport,3.9650383695350615
1981-09-09,11.7,City A,Device 1,Airport,4.307480770593592
1981-09-10,7.8,City A,Device 1,Airport,-3.3792550004396205
1981-09-11,12.3,City A,Device 1,Airport,10.81258644084824
1981-09-12,10.1,City A,Device 1,Airport,6.098996043620175
1981-09-13,11.5,City A,Device 1,Airport,1.8662318542766254
1981-09-14,7.3,City A,Device 1,Airport,11.153520328572334
1981-09-15,10.9,City A,Device 1,Airport,6.756986000517148
1981-09-16,14.1,City A,Device 1,Airport,6.288578420065893
1981-09-17,10.7,City A,Device 1,Airport,3.179004805399862
1981-09-18,16.9,City A,Device 1,Airport,5.318668172105653
1981-09-19,10.5,City A,Device 1,Airport,0.4229590513119268
1981-09-20,6.5,City A,Device 1,Airport,7.3850782832745345
1981-09-21,11.0,City A,Device 1,Airport,3.876685043470338
1981-09-22,6.3,City A,Device 1,Airport,5.40214458966387
1981-09-23,10.5,City A,Device 1,Airport,8.606164586599117
1981-09-24,7.2,City A,Device 1,Airport,5.854244332547173
1981-09-25,7.6,City A,Device 1,Airport,5.787402336389806
1981-09-26,10.7,City A,Device 1,Airport,5.829497914466551
1981-09-27,7.8,City A,Device 1,Airport,2.800185188314061
1981-09-28,9.6,City A,Device 1,Airport,7.508014158302807
1981-09-29,11.4,City A,Device 1,Airport,9.630077332413451
1981-09-30,12.4,City A,Device 1,Airport,7.276416980293793
1981-10-01,8.9,City A,Device 1,Airport,7.65472644339465
1981-10-02,13.2,City A,Device 1,Airport,2.3681554432454353
1981-10-03,8.6,City A,Device 1,Airport,2.396638331381223
1981-10-04,6.2,City A,Device 1,Airport,0.6773719271244802
1981-10-05,11.4,City A,Device 1,Airport,8.696759212485308
1981-10-06,13.2,City A,Device 1,Airport,4.237460397177895
1981-10-07,14.3,City A,Device 1,Airport,9.199531827442957
1981-10-08,7.3,City A,Device 1,Airport,2.6542649519395978
1981-10-09,12.9,City A,Device 1,Airport,3.687473051514257
1981-10-10,7.8,City A,Device 1,Airport,5.286275261573773
1981-10-11,6.2,City A,Device 1,Airport,7.764350205978534
1981-10-12,5.6,City A,Device 1,Airport,5.18225058739852
1981-10-13,10.0,City A,Device 1,Airport,5.63337426502315
1981-10-14,13.3,City A,Device 1,Airport,5.049582701916846
1981-10-15,8.3,City A,Device 1,Airport,5.531563160827881
1981-10-16,10.2,City A,Device 1,Airport,1.6505899463457667
1981-10-17,8.6,City A,Device 1,Airport,5.242781302919836
1981-10-18,7.3,City A,Device 1,Airport,4.440263019465601
1981-10-19,10.4,City A,Device 1,Airport,4.829526557342458
1981-10-20,11.2,City A,Device 1,Airport,6.477009667809947
1981-10-21,13.2,City A,Device 1,Airport,2.9579655769733426
1981-10-22,11.4,City A,Device 1,Airport,4.74647591778611
1981-10-23,9.1,City A,Device 1,Airport,4.107914351679489
1981-10-24,6.6,City A,Device 1,Airport,6.251906014924588
1981-10-25,8.4,City A,Device 1,Airport,7.354311953046769
1981-10-26,9.7,City A,Device 1,Airport,2.133724212878932
1981-10-27,13.2,City A,Device 1,Airport,6.757731293307847
1981-10-28,12.5,City A,Device 1,Airport,11.197349960656503
1981-10-29,11.0,City A,Device 1,Airport,0.5865292225021257
1981-10-30,11.0,City A,Device 1,Airport,2.5094843140546583
1981-10-31,11.7,City A,Device 1,Airport,2.358267200467487
1981-11-01,9.2,City A,Device 1,Airport,4.1627068353701295
1981-11-02,11.5,City A,Device 1,Airport,9.868547257862003
1981-11-03,13.6,City A,Device 1,Airport,5.04005802904153
1981-11-04,13.7,City A,Device 1,Airport,2.915919214138321
1981-11-05,10.4,City A,Device 1,Airport,6.865410512916718
1981-11-06,11.5,City A,Device 1,Airport,3.200586406787458
1981-11-07,7.6,City A,Device 1,Airport,8.370236486065807
1981-11-08,9.6,City A,Device 1,Airport,5.9158011207320325
1981-11-09,14.2,City A,Device 1,Airport,9.166338189110805
1981-11-10,15.7,City A,Device 1,Airport,3.015967270540944
1981-11-11,10.5,City A,Device 1,Airport,14.092571337116091
1981-11-12,10.5,City A,Device 1,Airport,7.473753875100372
1981-11-13,9.7,City A,Device 1,Airport,6.963740457760101
1981-11-14,9.5,City A,Device 1,Airport,4.846434657177007
1981-11-15,11.3,City A,Device 1,Airport,2.8232086425967173
1981-11-16,8.9,City A,Device 1,Airport,2.396693967129229
1981-11-17,9.4,City A,Device 1,Airport,4.592068021698232
1981-11-18,11.9,City A,Device 1,Airport,2.608190643520611
1981-11-19,11.7,City A,Device 1,Airport,5.8480271367452605
1981-11-20,13.4,City A,Device 1,Airport,2.5217077044580396
1981-11-21,12.6,City A,Device 1,Airport,6.863248102517025
1981-11-22,10.1,City A,Device 1,Airport,7.868365112374089
1981-11-23,15.8,City A,Device 1,Airport,2.8824784777931485
1981-11-24,13.6,City A,Device 1,Airport,8.578058203264082
1981-11-25,11.9,City A,Device 1,Airport,4.286174192743452
1981-11-26,9.9,City A,Device 1,Airport,8.465863658264675
1981-11-27,12.6,City A,Device 1,Airport,6.314499041873713
1981-11-28,17.8,City A,Device 1,Airport,8.366984964971277
1981-11-29,15.0,City A,Device 1,Airport,2.0089406134109526
1981-11-30,13.6,City A,Device 1,Airport,4.679618039662325
1981-12-01,13.4,City A,Device 1,Airport,9.354287781772806
1981-12-02,10.5,City A,Device 1,Airport,3.1458894569552633
1981-12-03,14.2,City A,Device 1,Airport,-1.1116036770423854
1981-12-04,11.5,City A,Device 1,Airport,-0.8277675444293671
1981-12-05,13.0,City A,Device 1,Airport,-2.5193219580281836
1981-12-06,15.0,City A,Device 1,Airport,-1.342491765750478
1981-12-07,14.7,City A,Device 1,Airport,3.7650825104345524
1981-12-08,12.6,City A,Device 1,Airport,8.835584248525166
1981-12-09,12.5,City A,Device 1,Airport,3.6733121614604816
1981-12-10,13.5,City A,Device 1,Airport,5.970582060804296
1981-12-11,14.8,City A,Device 1,Airport,4.6700255295091795
1981-12-12,17.2,City A,Device 1,Airport,5.025646836308074
1981-12-13,9.7,City A,Device 1,Airport,4.495403480765852
1981-12-14,12.1,City A,Device 1,Airport,4.477458967076028
1981-12-15,12.8,City A,Device 1,Airport,6.383492299931053
1981-12-16,11.2,City A,Device 1,Airport,1.472051985676054
1981-12-17,16.4,City A,Device 1,Airport,8.030381532004174
1981-12-18,15.6,City A,Device 1,Airport,7.7600537997432895
1981-12-19,13.3,City A,Device 1,Airport,4.414827977372297
1981-12-20,11.0,City A,Device 1,Airport,7.416180272696545
1981-12-21,11.1,City A,Device 1,Airport,2.8959667212284694
1981-12-22,15.0,City A,Device 1,Airport,3.3883309283739846
1981-12-23,12.8,City A,Device 1,Airport,5.46879155081025
1981-12-24,15.0,City A,Device 1,Airport,4.4293369247454155
1981-12-25,14.2,City A,Device 1,Airport,3.653785901985132
1981-12-26,14.0,City A,Device 1,Airport,2.982655883640211
1981-12-27,15.5,City A,Device 1,Airport,3.3275158346418703
1981-12-28,13.3,City A,Device 1,Airport,7.817506232589463
1981-12-29,15.6,City A,Device 1,Airport,-0.8299702170050587
1981-12-30,15.2,City A,Device 1,Airport,6.057483093107999
1981-12-31,17.4,City A,Device 1,Airport,4.29068914456104
1982-01-01,17.0,City A,Device 1,Airport,7.183440499998946
1982-01-02,15.0,City A,Device 1,Airport,6.5452208409180965
1982-01-03,13.5,City A,Device 1,Airport,-3.347603402958768
1982-01-04,15.2,City A,Device 1,Airport,6.7539398314322785
1982-01-05,13.0,City A,Device 1,Airport,5.972822730345263
1982-01-06,12.5,City A,Device 1,Airport,5.065588509879658
1982-01-07,14.1,City A,Device 1,Airport,3.593978551166326
1982-01-08,14.8,City A,Device 1,Airport,7.559843665866866
1982-01-09,16.2,City A,Device 1,Airport,3.7609120708669037
1982-01-10,15.8,City A,Device 1,Airport,10.50415287994906
1982-01-11,19.1,City A,Device 1,Airport,6.693148566482941
1982-01-12,22.2,City A,Device 1,Airport,11.413484202318447
1982-01-13,15.9,City A,Device 1,Airport,2.6433980092392932
1982-01-14,13.0,City A,Device 1,Airport,-0.2677769206985552
1982-01-15,14.1,City A,Device 1,Airport,7.144368792457446
1982-01-16,15.8,City A,Device 1,Airport,7.558112185175859
1982-01-17,24.0,City A,Device 1,Airport,5.106080291164272
1982-01-18,18.0,City A,Device 1,Airport,0.38362026276607075
1982-01-19,19.7,City A,Device 1,Airport,3.656314445851644
1982-01-20,25.2,City A,Device 1,Airport,6.853956601761004
1982-01-21,20.5,City A,Device 1,Airport,4.447471023038764
1982-01-22,19.3,City A,Device 1,Airport,4.652044443582811
1982-01-23,15.8,City A,Device 1,Airport,4.473623094014743
1982-01-24,17.0,City A,Device 1,Airport,2.198256033120496
1982-01-25,18.4,City A,Device 1,Airport,3.400939021749202
1982-01-26,13.3,City A,Device 1,Airport,0.7203337384384039
1982-01-27,14.6,City A,Device 1,Airport,10.303879844933078
1982-01-28,12.5,City A,Device 1,Airport,3.573881374586054
1982-01-29,17.0,City A,Device 1,Airport,6.4328305454526715
1982-01-30,17.1,City A,Device 1,Airport,1.934342166076072
1982-01-31,14.0,City A,Device 1,Airport,7.383584718803247
1982-02-01,14.6,City A,Device 1,Airport,-0.6194829329059051
1982-02-02,13.3,City A,Device 1,Airport,7.761845354164869
1982-02-03,14.8,City A,Device 1,Airport,4.893896225363867
1982-02-04,15.1,City A,Device 1,Airport,11.33181516080213
1982-02-05,13.1,City A,Device 1,Airport,1.0803977814679446
1982-02-06,13.6,City A,Device 1,Airport,5.229141440478776
1982-02-07,19.5,City A,Device 1,Airport,6.101695441651595
1982-02-08,22.7,City A,Device 1,Airport,8.698697577128712
1982-02-09,17.2,City A,Device 1,Airport,3.731429115827674
1982-02-10,13.5,City A,Device 1,Airport,5.259393219572862
1982-02-11,15.4,City A,Device 1,Airport,-1.4274001872321058
1982-02-12,17.0,City A,Device 1,Airport,2.5094934079318763
1982-02-13,19.2,City A,Device 1,Airport,6.354847851665725
1982-02-14,22.8,City A,Device 1,Airport,8.31252297890964
1982-02-15,26.3,City A,Device 1,Airport,4.154791192803161
1982-02-16,18.2,City A,Device 1,Airport,11.16906656959488
1982-02-17,17.0,City A,Device 1,Airport,10.280747679347279
1982-02-18,14.8,City A,Device 1,Airport,4.818042524675571
1982-02-19,12.8,City A,Device 1,Airport,-2.240509003521363
1982-02-20,15.5,City A,Device 1,Airport,-0.33269912741796226
1982-02-21,15.6,City A,Device 1,Airport,2.6664235201177617
1982-02-22,13.1,City A,Device 1,Airport,8.347523323772506
1982-02-23,15.2,City A,Device 1,Airport,5.930816863351302
1982-02-24,14.1,City A,Device 1,Airport,-1.2827434486684366
1982-02-25,12.5,City A,Device 1,Airport,4.313702513389512
1982-02-26,14.6,City A,Device 1,Airport,9.840084123689346
1982-02-27,10.4,City A,Device 1,Airport,3.875585938092042
1982-02-28,13.9,City A,Device 1,Airport,2.7500911481730013
1982-03-01,11.9,City A,Device 1,Airport,11.163872307554348
1982-03-02,13.5,City A,Device 1,Airport,5.160228610395044
1982-03-03,9.8,City A,Device 1,Airport,3.5625287036417603
1982-03-04,14.0,City A,Device 1,Airport,6.050501476484837
1982-03-05,21.5,City A,Device 1,Airport,5.051494179122265
1982-03-06,19.5,City A,Device 1,Airport,3.7125731652947187
1982-03-07,16.7,City A,Device 1,Airport,8.62536898565589
1982-03-08,19.1,City A,Device 1,Airport,8.347105408353459
1982-03-09,11.0,City A,Device 1,Airport,7.522584674423311
1982-03-10,9.0,City A,Device 1,Airport,4.6913383472793875
1982-03-11,10.0,City A,Device 1,Airport,8.440701129198448
1982-03-12,14.6,City A,Device 1,Airport,4.850892262523972
1982-03-13,12.5,City A,Device 1,Airport,6.399929801686522
1982-03-14,17.2,City A,Device 1,Airport,8.101060603818503
1982-03-15,19.2,City A,Device 1,Airport,7.426533080797046
1982-03-16,22.2,City A,Device 1,Airport,10.369264049618813
1982-03-17,15.7,City A,Device 1,Airport,6.353852048120513
1982-03-18,14.2,City A,Device 1,Airport,-0.052179957604711724
1982-03-19,9.8,City A,Device 1,Airport,1.5194896850531716
1982-03-20,14.0,City A,Device 1,Airport,9.050320456045178
1982-03-21,17.5,City A,Device 1,Airport,4.006150490202115
