Date,Temp
1981-08-09,7.0
1981-08-10,5.2
1981-08-11,3.0
1981-08-12,5.6
1981-08-13,7.9
1981-08-14,9.0
1981-08-15,8.6
1981-08-16,10.3
1981-08-17,10.5
1981-08-18,7.6
1981-08-19,9.7
1981-08-20,12.5
1981-08-21,7.4
1981-08-22,7.9
1981-08-23,3.9
1981-08-24,6.6
1981-08-25,4.6
1981-08-26,7.0
1981-08-27,6.0
1981-08-28,5.5
1981-08-29,8.1
1981-08-30,5.5
1981-08-31,6.2
1981-09-01,8.0
1981-09-02,10.3
1981-09-03,9.8
1981-09-04,9.6
1981-09-05,8.5
1981-09-06,7.5
1981-09-07,11.2
1981-09-08,14.6
1981-09-09,11.7
1981-09-10,7.8
1981-09-11,12.3
1981-09-12,10.1
1981-09-13,11.5
1981-09-14,7.3
1981-09-15,10.9
1981-09-16,14.1
1981-09-17,10.7
1981-09-18,16.9
1981-09-19,10.5
1981-09-20,6.5
1981-09-21,11.0
1981-09-22,6.3
1981-09-23,10.5
1981-09-24,7.2
1981-09-25,7.6
1981-09-26,10.7
1981-09-27,7.8
1981-09-28,9.6
1981-09-29,11.4
1981-09-30,12.4
1981-10-01,8.9
1981-10-02,13.2
1981-10-03,8.6
1981-10-04,6.2
1981-10-05,11.4
1981-10-06,13.2
1981-10-07,14.3
1981-10-08,7.3
1981-10-09,12.9
1981-10-10,7.8
1981-10-11,6.2
1981-10-12,5.6
1981-10-13,10.0
1981-10-14,13.3
1981-10-15,8.3
1981-10-16,10.2
1981-10-17,8.6
1981-10-18,7.3
1981-10-19,10.4
1981-10-20,11.2
1981-10-21,13.2
1981-10-22,11.4
1981-10-23,9.1
1981-10-24,6.6
1981-10-25,8.4
1981-10-26,9.7
1981-10-27,13.2
1981-10-28,12.5
1981-10-29,11.0
1981-10-30,11.0
1981-10-31,11.7
1981-11-01,9.2
1981-11-02,11.5
1981-11-03,13.6
1981-11-04,13.7
1981-11-05,10.4
1981-11-06,11.5
1981-11-07,7.6
1981-11-08,9.6
1981-11-09,14.2
1981-11-10,15.7
1981-11-11,10.5
1981-11-12,10.5
1981-11-13,9.7
1981-11-14,9.5
1981-11-15,11.3
1981-11-16,8.9
1981-11-17,9.4
1981-11-18,11.9
1981-11-19,11.7
1981-11-20,13.4
1981-11-21,12.6
1981-11-22,10.1
1981-11-23,15.8
1981-11-24,13.6
1981-11-25,11.9
1981-11-26,9.9
1981-11-27,12.6
1981-11-28,17.8
1981-11-29,15.0
1981-11-30,13.6
1981-12-01,13.4
1981-12-02,10.5
1981-12-03,14.2
1981-12-04,11.5
1981-12-05,13.0
1981-12-06,15.0
1981-12-07,14.7
1981-12-08,12.6
1981-12-09,12.5
1981-12-10,13.5
1981-12-11,14.8
1981-12-12,17.2
1981-12-13,9.7
1981-12-14,12.1
1981-12-15,12.8
1981-12-16,11.2
1981-12-17,16.4
1981-12-18,15.6
1981-12-19,13.3
1981-12-20,11.0
1981-12-21,11.1
1981-12-22,15.0
1981-12-23,12.8
1981-12-24,15.0
1981-12-25,14.2
1981-12-26,14.0
1981-12-27,15.5
1981-12-28,13.3
1981-12-29,15.6
1981-12-30,15.2
1981-12-31,17.4
1982-01-01,17.0
1982-01-02,15.0
1982-01-03,13.5
1982-01-04,15.2
1982-01-05,13.0
1982-01-06,12.5
1982-01-07,14.1
1982-01-08,14.8
1982-01-09,16.2
1982-01-10,15.8
1982-01-11,19.1
1982-01-12,22.2
1982-01-13,15.9
1982-01-14,13.0
1982-01-15,14.1
1982-01-16,15.8
1982-01-17,24.0
1982-01-18,18.0
1982-01-19,19.7
1982-01-20,25.2
1982-01-21,20.5
1982-01-22,19.3
1982-01-23,15.8
1982-01-24,17.0
1982-01-25,18.4
1982-01-26,13.3
1982-01-27,14.6
1982-01-28,12.5
1982-01-29,17.0
1982-01-30,17.1
1982-01-31,14.0
1982-02-01,14.6
1982-02-02,13.3
1982-02-03,14.8
1982-02-04,15.1
1982-02-05,13.1
1982-02-06,13.6
1982-02-07,19.5
1982-02-08,22.7
1982-02-09,17.2
1982-02-10,13.5
1982-02-11,15.4
1982-02-12,17.0
1982-02-13,19.2
1982-02-14,22.8
1982-02-15,26.3
1982-02-16,18.2
1982-02-17,17.0
1982-02-18,14.8
1982-02-19,12.8
1982-02-20,15.5
1982-02-21,15.6
1982-02-22,13.1
1982-02-23,15.2
1982-02-24,14.1
1982-02-25,12.5
1982-02-26,14.6
1982-02-27,10.4
1982-02-28,13.9
1982-03-01,11.9
1982-03-02,13.5
1982-03-03,9.8
1982-03-04,14.0
1982-03-05,21.5
1982-03-06,19.5
1982-03-07,16.7
1982-03-08,19.1
1982-03-09,11.0
1982-03-10,9.0
1982-03-11,10.0
1982-03-12,14.6
1982-03-13,12.5
1982-03-14,17.2
1982-03-15,19.2
1982-03-16,22.2
1982-03-17,15.7
1982-03-18,14.2
1982-03-19,9.8
1982-03-20,14.0
1982-03-21,17.5
1982-03-22,20.7
1982-03-23,15.6
1982-03-24,13.2
1982-03-25,14.5
1982-03-26,16.8
1982-03-27,17.2
1982-03-28,13.4
1982-03-29,14.2
1982-03-30,14.3
1982-03-31,10.2
1982-04-01,10.4
1982-04-02,12.3
1982-04-03,11.9
1982-04-04,11.2
1982-04-05,8.5
1982-04-06,12.0
1982-04-07,12.4
1982-04-08,12.9
1982-04-09,10.1
1982-04-10,15.0
1982-04-11,13.6
1982-04-12,12.4
1982-04-13,13.6
1982-04-14,16.1
1982-04-15,19.5
1982-04-16,14.2
1982-04-17,9.3
1982-04-18,10.1
1982-04-19,7.4
1982-04-20,8.6
1982-04-21,7.8
1982-04-22,9.1
1982-04-23,13.0
1982-04-24,16.5
1982-04-25,12.9
1982-04-26,6.9
1982-04-27,6.9
1982-04-28,8.7
1982-04-29,10.0
1982-04-30,10.8
1982-05-01,7.5
1982-05-02,6.3
1982-05-03,11.9
1982-05-04,13.8
1982-05-05,11.8
1982-05-06,11.0
1982-05-07,10.1
1982-05-08,8.5
1982-05-09,5.5
1982-05-10,7.6
1982-05-11,8.7
1982-05-12,10.8
1982-05-13,11.2
1982-05-14,9.1
1982-05-15,3.7
1982-05-16,4.6
1982-05-17,6.6
1982-05-18,13.2
1982-05-19,15.2
1982-05-20,7.6
1982-05-21,8.4
1982-05-22,6.0
1982-05-23,8.3
1982-05-24,8.6
1982-05-25,11.1
1982-05-26,12.1
1982-05-27,12.9
1982-05-28,14.0
1982-05-29,12.5
1982-05-30,11.5
1982-05-31,7.0
1982-06-01,7.1
1982-06-02,9.0
1982-06-03,3.1
1982-06-04,2.5
1982-06-05,0.0
1982-06-06,1.6
1982-06-07,2.6
1982-06-08,5.7
1982-06-09,2.3
1982-06-10,4.5
1982-06-11,8.2
1982-06-12,6.9
1982-06-13,7.3
1982-06-14,6.0
1982-06-15,7.3
1982-06-16,7.6
1982-06-17,8.0
1982-06-18,8.0
1982-06-19,6.8
1982-06-20,7.3
1982-06-21,6.2
1982-06-22,6.9
1982-06-23,8.9
1982-06-24,4.0
1982-06-25,1.3
1982-06-26,0.8
1982-06-27,4.3
1982-06-28,7.3
1982-06-29,7.7
1982-06-30,9.0
1982-07-01,4.2
1982-07-02,1.6
1982-07-03,2.6
1982-07-04,3.4
1982-07-05,3.9
1982-07-06,7.0
1982-07-07,7.8
1982-07-08,5.3
1982-07-09,2.4
1982-07-10,2.8
1982-07-11,4.0
1982-07-12,7.5
1982-07-13,7.8
1982-07-14,5.6
1982-07-15,3.3
1982-07-16,5.0
1982-07-17,3.7
1982-07-18,3.9
1982-07-19,5.2
1982-07-20,0.2
1982-07-21,0.8
1982-07-22,0.9
1982-07-23,3.5
1982-07-24,6.6
1982-07-25,9.5
1982-07-26,9.0
1982-07-27,3.5
1982-07-28,4.5
1982-07-29,5.7
1982-07-30,5.6
1982-07-31,7.1
1982-08-01,9.7
1982-08-02,8.3
1982-08-03,9.1
1982-08-04,2.8
1982-08-05,2.2
1982-08-06,4.5
1982-08-07,3.8
1982-08-08,3.8
1982-08-09,6.2
1982-08-10,11.5
1982-08-11,10.2
1982-08-12,7.9
1982-08-13,9.0
1982-08-14,9.5
1982-08-15,6.0
1982-08-16,8.2
1982-08-17,9.2
1982-08-18,4.3
1982-08-19,6.6
1982-08-20,9.4
1982-08-21,13.2
1982-08-22,6.6
1982-08-23,5.1
1982-08-24,12.1
1982-08-25,11.2
1982-08-26,8.5
1982-08-27,4.6
1982-08-28,7.0
1982-08-29,14.2
1982-08-30,12.7
1982-08-31,7.6
1982-09-01,4.0
1982-09-02,10.0
1982-09-03,10.5
1982-09-04,5.0
1982-09-05,4.5
1982-09-06,8.2
1982-09-07,4.3
1982-09-08,9.8
1982-09-09,5.8
1982-09-10,5.0
1982-09-11,8.5
1982-09-12,9.0
1982-09-13,3.6
1982-09-14,6.7
1982-09-15,6.7
1982-09-16,10.1
1982-09-17,15.0
1982-09-18,8.9
1982-09-19,5.7
1982-09-20,4.2
1982-09-21,4.0
1982-09-22,5.3
1982-09-23,6.3
1982-09-24,8.5
1982-09-25,11.5
1982-09-26,7.7
1982-09-27,9.2
1982-09-28,7.8
1982-09-29,6.3
1982-09-30,6.3
1982-10-01,8.6
1982-10-02,6.1
1982-10-03,13.2
1982-10-04,9.9
1982-10-05,4.7
1982-10-06,5.8
1982-10-07,14.9
1982-10-08,10.7
1982-10-09,8.6
